role,name,key,team
Allrounder,Rajat Bhatia,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDAM,team_kolkata
Wicketkeeper,Manvinder  Bisla,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDEM,team_kolkata
Batsman,Debabrata Das,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDIM,team_kolkata
Bowler,Marchant De Lange,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDMM,team_kolkata
Wicketkeeper batsman,Brad Haddin,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDQM,team_kolkata
Allrounder,Iqbal Abdulla,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDUM,team_kolkata
Batsman,Chirag Jani,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDYM,team_kolkata
Allrounder,jacques Kallis,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDcM,team_kolkata
Bowler,Brett Lee,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDgM,team_kolkata
Wicketkeeper batsman,Brendon McCullum,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMDkM,team_kolkata
Middle-order batsman,Eoin Morgan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTAM,team_kolkata
Bowler,Sunil Narine,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTEM,team_kolkata
Allrounder,Yusuf Pathan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTIM,team_kolkata
Bowler,James Pattinson,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTMM,team_kolkata
Batsman,Sanju Samson,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTQM,team_kolkata
Bowler,Pradeep Sangwan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTUM,team_kolkata
Bowler,Iresh Saxena,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTYM,team_kolkata
Bowler,Shami Ahmed,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTcM,team_kolkata
Allrounder,Shakib Al Hasan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTgM,team_kolkata
Allrounder,Laxmi Shukla,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMTkM,team_kolkata
Allrounder,Ryan ten Doeschate,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjAM,team_kolkata
Batsman,Manoj Tiwary,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjEM,team_kolkata
Bowler,Jaydev Unadkat,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjIM,team_kolkata
Wicketkeeper batsman,Kumar Sangakkara,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjMM,team_hyderabad
Bowler,Ashish Reddy,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjQM,team_hyderabad
Bowler,Anand Rajan,agpkZXZ-Y3AtZGV2chYLEgZQbGF5ZXIiCnBsYXllcl8xMjUM,team_hyderabad
