"id","name","role","team"
"154","Rusty Theron","Bowler","team_hyderabad"
"155","Cameron White","Middle-order batsman","team_hyderabad"
"156","Arjun Yadav","Batsman","team_hyderabad"
"157","Sachin Tendulkar","Top-order batsman","team_mumbai"
"158","Abu Nechim","Bowler","team_mumbai"
"159","Amitoze Singh","Batsman","team_mumbai"
"160","Aliden Blizzard","Batsman","team_mumbai"
"161","Yuzvendra Chahal","Bowler","team_mumbai"
"162","James Franklin","Allrounder","team_mumbai"
"163","Herschelle Gibbs","Batsman","team_mumbai"
"164","Harbhajan Singh","Bowler","team_mumbai"
"165","Davy Jacobs","Wicketkeeper batsman","team_mumbai"
"166","Mitchell Johnson","Bowler","team_mumbai"
"167","Dinesh Karthik","Wicketkeeper batsman","team_mumbai"
"168","Dhawal Kulkarni","Bowler","team_mumbai"
"169","Richard Levi","Batsman","team_mumbai"
"170","Clint McKay","Bowler","team_mumbai"
"171","Lasith Malinga","Bowler","team_mumbai"
"172","Sushant Marathe","Wicketkeeper","team_mumbai"
"173","Sujit Nayak","Bowler","team_mumbai"
"174","Pragyan Ojha","Bowler","team_mumbai"
"175","Munaf Patel","Bowler","team_mumbai"
"176","Thisara Perera","Allrounder","team_mumbai"
"177","Robin Peterson","Bowler","team_mumbai"
"178","Kieron Pollard","Allrounder","team_mumbai"
"179","Ambati Rayudu","Wicketkeeper batsman","team_mumbai"
"180","Jaydev Shah","Batsman","team_mumbai"
"181","Rohit Sharma","Batsman","team_mumbai"
"182","Rahul Shukla","Bowler","team_mumbai"
"183","RP Singh","Bowler","team_mumbai"
"184","Tirumalasetti Suman","Batsman","team_mumbai"
"185","Pawan Suyal","Bowler","team_mumbai"
"186","Aditya Tare","Wicketkeeper","team_mumbai"
"187","Apoorv Wankhade","Batsman","team_mumbai"
"188","Suryakumar Yadav","Batsman","team_mumbai"
"189","MS Dhoni","Wicketkeeper batsman","team_chennai"
"190","Srikkanth Anirudha","Top-order batsman","team_chennai"
"191","Ravichandran Ashwin","Bowler","team_chennai"
"192","Subramaniam Badrinath","Middle-order batsman","team_chennai"
"193","George Bailey","Top-order batsman","team_chennai"
"194","Doug Bollinger","Bowler","team_chennai"
"195","Dwayne Bravo","Allrounder","team_chennai"
"196","Faf du Plessis","Allrounder","team_chennai"
"197","Ben Hilfenhaus","Bowler","team_chennai"
"198","Michael Hussey","Middle-order batsman","team_chennai"
"199","Ravindra Jadeja","Allrounder","team_chennai"
"200","Shadab Jakati","Bowler","team_chennai"
"201","Joginder Sharma","Allrounder","team_chennai"
"202","Suraj Randiv","Bowler","team_chennai"
"203","Nuwan Kulasekara","Bowler","team_chennai"
"204","Yo Mahesh","Allrounder","team_chennai"
"205","Albie Morkel","Allrounder","team_chennai"
"206","Abhinav Mukund","Top-order batsman","team_chennai"
"207","Suresh Raina","Batsman","team_chennai"
"208","Wriddhiman Saha","Wicketkeeper","team_chennai"
"209","Scott Styris","Allrounder","team_chennai"
"210","Sudeep Tyagi","Bowler","team_chennai"
"211","Kuthethurshri Vasudevadas","Batsman","team_chennai"
"212","Ganapathi Vignesh","Allrounder","team_chennai"
"213","Murali Vijay","Opening batsman","team_chennai"
"214","Daniel Vettori","Allrounder","team_bangalore"
"215","Mayank Agarwal","Batsman","team_bangalore"
"216","KP Appanna","Bowler","team_bangalore"
"217","Sreenath Aravind","Bowler","team_bangalore"
"218","Arun Karthik","Batsman","team_bangalore"
"219","Raju Bhatkal","Allrounder","team_bangalore"
"220","AB de Villiers","Wicketkeeper batsman","team_bangalore"
"221","Tillakaratne Dilshan","Allrounder","team_bangalore"
"222","Muralidharen Gautam","Wicketkeeper","team_bangalore"
"223","Chris Gayle","Allrounder","team_bangalore"
"224","Mohammad Kaif","Batsman","team_bangalore"
"225","Abrar Kazi","Bowler","team_bangalore"
"226","Zaheer Khan","Bowler","team_bangalore"
"227","Virat Kohli","Middle-order batsman","team_bangalore"
"228","Charl Langeveldt","Bowler","team_bangalore"
"229","Andrew McDonald","Allrounder","team_bangalore"
"230","Abhimanyu Mithun","Bowler","team_bangalore"
"231","Muttiah Muralitharan","Bowler","team_bangalore"
"232","Karun Nair","Batsman","team_bangalore"
"233","Dirk Nannes","Bowler","team_bangalore"
"234","Ryan Ninan","Allrounder","team_bangalore"
"235","Harshal Patel","Bowler","team_bangalore"
"236","Asad Pathan","Bowler","team_bangalore"
