role,name,key,team
Allrounder,Amit Yadav,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3MQw,team_punjab
Allrounder,Azhar Mahmood,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3Mgw,team_punjab
Bowler,Bhargav Bhatt,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3Mww,team_punjab
Allrounder,Bipul Sharma,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3NAw,team_punjab
Bowler,Stuart Broad,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3NQw,team_punjab
Allrounder,Piyush Chawla,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3Ngw,team_punjab
Batsman,Siddharth Chitnis,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3Nww,team_punjab
Batsman,Paras Dogra,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3OAw,team_punjab
Allrounder,James Faulkner,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA3OQw,team_punjab
Bowler,Harmeet Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4MAw,team_punjab
Bowler,Ryan Harris,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4MQw,team_punjab
Allrounder,David Hussey,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4Mgw,team_punjab
Bowler,Praveen Kumar,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4Mww,team_punjab
Bowler,Vikramjeet Malik,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4NAw,team_punjab
Allrounder,Mandeep Singh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4NQw,team_punjab
Top-order batsman,Shaun Marsh,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4Ngw,team_punjab
Allrounder,Dimitri Mascarenhas,aglzfmNwLWxpdmVyFgsSBlBsYXllciIKcGxheWVyXzA4Nww,team_punjab
